switchName:	sp-main-san01
switchType:	120.0
switchState:	Online
switchMode:	Native
switchRole:	Principal
switchDomain:	1
switchId:	fffc01
switchWwn:	10:00:c4:f5:7c:c3:a2:53
zoning:		ON (sp_main_san_cfg_01)
switchBeacon:	OFF
FC Router:	OFF
HIF Mode:	OFF

Index Slot Port Address Media  Speed        State    Proto
============================================================
   0    1    0   010000   id    N16	  No_Light    FC
   1    1    1   010100   id    N16	  No_Light    FC
   2    1    2   010200   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:cc:26:1c
   3    1    3   010300   id    N16	  No_Light    FC
   4    1    4   010400   id    N16	  Online      FC  F-Port  51:40:2e:c0:00:f3:cf:52
   5    1    5   010500   id    N8 	  Online      FC  F-Port  51:40:2e:c0:01:bf:e0:f8
   6    1    6   010600   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:8f:f8
   7    1    7   010700   id    N16	  Online      FC  F-Port  51:40:2e:c0:11:0e:94:24
   8    1    8   010800   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:3f:0c:cc
   9    1    9   010900   id    N16	  No_Light    FC
  10    1   10   010a00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:c5:a4
  11    1   11   010b00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bb:a4
  12    1   12   010c00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bb:f0
  13    1   13   010d00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:bd:60
  14    1   14   010e00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:f5:b9:bc
  15    1   15   010f00   id    N8 	  Online      FC  F-Port  51:40:2e:c0:00:55:ba:f0
 128    1   16   018000   id    N16	  Online      FC  F-Port  51:40:2e:c0:00:f5:06:bc
 129    1   17   018100   id    N16	  Online      FC  F-Port  21:00:f4:e9:d4:51:bc:b0
 130    1   18   018200   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:3f:55:e0
 131    1   19   018300   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:57:3c
 132    1   20   018400   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:b7:e4
 133    1   21   018500   id    N16	  Online      FC  F-Port  21:00:f4:e9:d4:57:bc:54
 134    1   22   018600   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:b6:58
 135    1   23   018700   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:b6:48
 136    1   24   018800   id    N16	  Online      FC  F-Port  51:40:2e:c0:12:43:ba:68
 137    1   25   018900   id    N16	  No_Light    FC
 138    1   26   018a00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:1e:0c
 139    1   27   018b00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:13:50
 140    1   28   018c00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:1e:10
 141    1   29   018d00   id    N16	  Online      FC  F-Port  51:40:2e:c0:14:82:13:0c
 142    1   30   018e00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:04
 143    1   31   018f00   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:05
 256    1   32   018880   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:06
 257    1   33   018980   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:07
 258    1   34   018a80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:08
 259    1   35   018b80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:09
 260    1   36   018c80   id    N16	  No_Light    FC
 261    1   37   018d80   id    N16	  Online      FC  F-Port  50:06:0e:80:12:39:e0:00
 262    1   38   018e80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:18
 263    1   39   018f80   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:19
 264    1   40   018080   id    N16	  Online      FC  F-Port  50:00:09:75:68:02:28:1a
 265    1   41   018180   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:04
 266    1   42   018280   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:05
 267    1   43   018380   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:06
 268    1   44   018480   id    N16	  Online      FC  F-Port  50:00:09:75:98:01:44:07
 269    1   45   018580   id    N16	  No_Light    FC
 270    1   46   018680   id    N16	  No_Light    FC
 271    1   47   018780   id    N16	  No_Light    FC
  16    2    0   011000   id    N16	  No_Light    FC
  17    2    1   011100   id    N16	  Online      FC  F-Port  21:00:34:80:0d:6e:a5:76
  18    2    2   011200   id    N16	  Online      FC  F-Port  21:00:34:80:0d:6f:fe:f4
  19    2    3   011300   id    N16	  Online      FC  F-Port  21:00:34:80:0d:6f:fe:ee
  20    2    4   011400   id    N16	  Online      FC  F-Port  21:00:34:80:0d:70:04:c4
  21    2    5   011500   id    N16	  Online      FC  F-Port  21:00:34:80:0d:6f:fe:fa
  22    2    6   011600   id    N16	  Online      FC  F-Port  21:00:34:80:0d:6f:fe:e0
  23    2    7   011700   id    N16	  Online      FC  F-Port  21:00:34:80:0d:6e:a4:04
  24    2    8   011800   id    N16	  Online      FC  F-Port  21:00:34:80:0d:70:00:e2
  25    2    9   011900   id    N16	  No_Light    FC
  26    2   10   011a00   id    N16	  No_Light    FC
  27    2   11   011b00   id    N16	  No_Light    FC
  28    2   12   011c00   id    N16	  No_Light    FC
  29    2   13   011d00   id    N16	  No_Light    FC
  30    2   14   011e00   id    N16	  No_Light    FC
  31    2   15   011f00   id    N16	  No_Light    FC
 144    2   16   019000   id    N16	  No_Light    FC
